"","Monday","Tuesday","Wednesday","Thursday","Friday","Saturday","Sunday","open.days","Monday.hour","Tuesday.hour","Thursday.hour","Wednesday.hour","Friday.hour","Saturday.hour","Sunday.hour"
"2352",NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA
"2353","11:0-1:0","11:0-1:0","11:0-1:0","11:0-1:0","11:0-2:0","11:0-2:0","16:0-0:0",7,14,14,14,14,15,15,8
"2354",NA,"8:30-17:30","8:30-17:30","8:30-17:30","8:30-17:30","8:0-16:0",NA,5,NA,9,9,9,9,8,NA
"2355","12:0-2:0","12:0-2:0","12:0-2:0","12:0-2:0","12:0-2:0","12:0-2:0","14:0-2:0",7,14,14,14,14,14,14,12
"2356","11:0-22:0","11:0-22:0","11:0-22:0","11:0-22:0","11:0-23:0","11:0-23:0","11:0-22:0",7,11,11,11,11,12,12,11
"2357","10:0-0:0","10:0-0:0","10:0-0:0","10:0-0:0","10:0-0:0","10:0-0:0",NA,6,14,14,14,14,14,14,NA
"2358","11:0-2:0","11:0-2:0","11:0-2:0","11:0-2:0","11:0-2:0","11:0-2:0","11:0-2:0",7,15,15,15,15,15,15,15
"2359","0:0-0:0","11:0-22:0","11:0-22:0","11:0-22:0","11:0-23:0","11:0-23:0",NA,6,0,11,11,11,12,12,NA
"2360","11:0-22:0","11:0-22:0","11:0-22:0","11:0-22:0","11:0-23:0","9:0-22:30","16:0-22:0",7,11,11,11,11,12,13.5,6
"2361",NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA
"2362",NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA
"2363",NA,"10:0-22:0","10:0-22:0","10:0-22:0","10:0-23:0","10:0-23:0","11:0-21:0",6,NA,12,12,12,13,13,10
"2364",NA,"7:0-17:0","10:0-19:0","7:0-17:0","7:0-17:0","7:0-16:0",NA,5,NA,10,10,9,10,9,NA
"2365","0:0-0:0","17:0-22:0","17:0-22:0","17:0-22:0","17:0-0:0","17:0-0:0","11:0-15:0",7,0,5,5,5,7,7,4
"2366","11:0-1:0","11:0-1:0","11:0-1:0","11:0-1:0","11:0-1:0","11:0-1:0","8:0-0:0",7,14,14,14,14,14,14,16
"2367","10:0-23:0","10:0-23:0","10:0-23:0","10:0-23:0","10:0-1:0","10:0-1:0",NA,6,13,13,13,13,15,15,NA
"2368","11:0-2:0","11:0-2:0","11:0-2:0","11:0-2:0","11:0-2:0","11:0-2:0","11:0-2:0",7,15,15,15,15,15,15,15
"2369",NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA
"2370",NA,NA,NA,"16:0-23:30","16:0-1:0","11:0-1:0","11:0-20:0",4,NA,NA,7.5,NA,9,14,9
"2371","17:0-2:0","17:0-2:0","17:0-2:0","17:0-2:0","17:0-2:0","17:0-2:0","10:0-2:0",7,9,9,9,9,9,9,16
"2372","9:30-11:0","8:0-19:0","8:15-19:30","8:45-17:45","8:15-17:30","8:15-11:45","8:30-10:15",7,1.5,11,9,11.25,9.25,3.5,1.75
"2373",NA,"11:0-14:0","11:0-20:0","11:0-20:0","11:0-20:0","11:0-20:0","11:0-14:0",6,NA,3,9,9,9,9,3
"2374","0:0-0:0","11:0-22:0","11:0-22:0","11:0-22:0","11:0-23:0","11:0-23:0","11:0-22:0",7,0,11,11,11,12,12,11
"2375",NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA
"2376","0:0-0:0","9:0-15:0","9:0-15:0","9:0-15:0","9:0-15:0","9:0-15:0","12:0-16:0",7,0,6,6,6,6,6,4
"2377","7:0-13:0","7:0-13:0","5:0-22:0","7:0-13:0","5:0-22:0","7:0-19:0","7:0-13:0",7,6,6,6,17,17,12,6
"2378","0:0-0:0","16:0-21:0","16:0-21:0","16:0-21:0","16:0-2:0","16:0-2:0",NA,6,0,5,5,5,10,10,NA
"2379","0:0-0:0","10:30-23:0","10:30-23:0","10:30-3:0","11:0-0:0","11:0-0:0","10:30-23:0",7,0,12.5,16.5,12.5,13,13,12.5
"2380","5:0-20:30","5:0-20:30","5:0-20:30","5:0-20:30","5:0-20:30","5:0-20:30","5:0-20:30",7,15.5,15.5,15.5,15.5,15.5,15.5,15.5
"2381",NA,NA,NA,"18:0-2:0","18:0-2:0","18:0-2:0","18:0-2:0",4,NA,NA,8,NA,8,8,8
"2382","10:0-18:0","10:0-18:0","10:0-18:0","10:0-18:0","10:0-18:0","10:0-18:0",NA,6,8,8,8,8,8,8,NA
"2383","17:0-23:0","17:0-23:0","17:0-23:0","17:0-23:0","17:0-0:0","17:0-0:0","17:0-23:0",7,6,6,6,6,7,7,6
"2384","11:0-22:0","11:0-22:0","11:0-22:0","11:0-22:0","11:0-22:0","11:0-22:0","11:0-22:0",7,11,11,11,11,11,11,11
"2385","7:0-21:0","7:0-21:0","7:0-21:0","7:0-21:0","7:0-21:0","9:0-20:0","11:0-19:0",7,14,14,14,14,14,11,8
"2386","16:0-22:0","16:0-22:0","16:0-22:0","16:0-22:0","16:0-23:0","16:0-23:0","15:0-22:0",7,6,6,6,6,7,7,7
"2387",NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA
"2388",NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA
"2389",NA,NA,NA,"17:0-0:0","17:0-0:0","17:0-0:0","10:0-15:0",4,NA,NA,7,NA,7,7,5
"2390","16:0-22:0","16:0-22:0","16:0-22:0","16:0-22:0","16:0-23:0","11:0-23:0","11:0-21:0",7,6,6,6,6,7,12,10
"2391","6:30-2:0","6:30-2:0","6:30-2:0","6:30-2:0","6:30-2:0","7:0-2:0","7:0-2:0",7,19.5,19.5,19.5,19.5,19.5,19,19
"2392","0:0-0:0",NA,"16:0-22:0","16:0-22:0","16:0-23:0","16:0-23:0",NA,5,0,NA,6,6,7,7,NA
"2393","9:0-20:0","9:0-20:0","9:0-20:0","9:0-20:0","9:0-20:0","9:0-18:0","11:0-17:0",7,11,11,11,11,11,9,6
"2394","11:0-22:0","11:0-22:0","11:0-22:0","11:0-22:0","11:0-23:0","11:0-23:0","11:0-20:0",7,11,11,11,11,12,12,9
"2395","17:0-2:0","17:0-2:0","17:0-2:0","17:0-2:0","17:0-2:30","17:0-2:30",NA,6,9,9,9,9,9.5,9.5,NA
"2396","12:0-17:30",NA,"12:0-17:30","12:0-17:30",NA,"9:0-14:30",NA,4,5.5,NA,5.5,5.5,NA,5.5,NA
"2397","7:0-0:0","7:0-0:0","7:0-0:0","7:0-0:0","7:0-0:0","7:0-0:0","7:0-0:0",7,17,17,17,17,17,17,17
"2398","11:0-19:0","11:0-19:0","11:0-19:0","11:0-19:0","11:0-20:0","11:0-20:0","12:0-18:0",7,8,8,8,8,9,9,6
"2399","17:0-2:0","17:0-2:0","17:0-2:0","17:0-2:0","17:0-2:30","17:0-2:30","17:0-2:0",7,9,9,9,9,9.5,9.5,9
"2400","11:0-2:0","11:0-2:0","11:0-2:0","11:0-2:0","11:0-2:0","11:0-2:0","11:0-2:0",7,15,15,15,15,15,15,15
"2401",NA,NA,"20:0-2:0","21:0-2:0","21:0-2:0","21:0-2:0",NA,4,NA,NA,5,6,5,5,NA
"2402","17:0-21:0","17:0-21:0","17:0-21:0","17:0-21:0","17:0-22:0","16:30-22:0","16:30-21:0",7,4,4,4,4,5,5.5,4.5
"2403","11:0-22:0","11:0-22:0","11:0-22:0","11:0-22:0","11:0-23:0","11:0-23:0","11:0-22:0",7,11,11,11,11,12,12,11
"2404",NA,NA,"11:0-20:0","11:0-20:0","11:0-20:0","11:0-20:0","11:0-20:0",5,NA,NA,9,9,9,9,9
"2405",NA,"20:0-2:0","19:30-2:0","21:0-2:0","21:0-2:0","21:0-2:0",NA,5,NA,6,5,6.5,5,5,NA
"2406","11:0-2:0","11:0-2:0","11:0-2:0","11:0-2:0","11:0-2:0","12:0-2:0","12:0-21:0",7,15,15,15,15,15,14,9
"2407","11:30-2:30","11:30-2:30","11:30-2:30","11:30-2:30","11:30-2:30","11:30-2:30","16:0-2:30",7,15,15,15,15,15,15,10.5
"2408","0:0-0:0","10:0-21:0","10:0-21:0","10:0-21:0","10:0-21:30","10:0-21:30","10:0-21:0",7,0,11,11,11,11.5,11.5,11
"2409","20:0-2:0","11:0-2:30","11:0-2:30","11:0-2:30","11:0-2:30","11:0-2:30","11:0-2:30",7,6,15.5,15.5,15.5,15.5,15.5,15.5
"2410",NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA
"2411","6:0-18:0","6:0-18:0","6:0-18:0","7:0-15:0","6:0-18:0","7:0-15:0","8:0-15:0",7,12,12,8,12,12,8,7
"2412","7:0-0:0","7:0-0:0","7:0-0:0","7:0-0:0","7:0-0:0",NA,NA,5,17,17,17,17,17,NA,NA
"2413","8:0-19:0","9:0-21:0","9:0-21:0","8:0-21:0","8:0-19:0","8:0-16:0",NA,6,11,12,13,12,11,8,NA
"2414",NA,"17:0-2:0","17:0-2:0","17:0-2:0","17:0-2:0","17:0-2:0","17:0-2:0",6,NA,9,9,9,9,9,9
"2415","15:0-2:0","15:0-2:0","15:0-2:0","15:0-2:0","15:0-2:0","15:0-2:0","15:0-2:0",7,11,11,11,11,11,11,11
"2416","16:0-23:0","16:0-23:0","16:0-23:0","16:0-23:0","16:0-0:0","16:0-0:0",NA,6,7,7,7,7,8,8,NA
"2417","11:0-22:0","11:0-22:0","11:0-22:0","11:0-22:0","11:0-23:0","11:0-23:0",NA,6,11,11,11,11,12,12,NA
"2418","16:0-21:0","16:0-21:0","16:0-21:0","16:0-21:0","16:0-22:0","16:0-22:0",NA,6,5,5,5,5,6,6,NA
"2419","11:0-2:0","11:0-2:0","11:0-2:0","11:0-2:0","11:0-2:0","11:0-2:0","11:0-2:0",7,15,15,15,15,15,15,15
"2420","17:0-22:0","17:0-22:0","17:0-22:0","17:0-22:0","17:0-23:0","17:0-23:0","17:0-22:0",7,5,5,5,5,6,6,5
"2421","16:0-20:0","16:0-23:0","16:0-20:0","16:0-0:0","16:0-23:0","11:0-23:0","12:0-18:0",7,4,7,8,4,7,12,6
"2422","11:0-2:30","11:0-2:30","11:0-2:30","11:0-2:30","11:0-2:30","11:0-2:30","11:0-2:30",7,15.5,15.5,15.5,15.5,15.5,15.5,15.5
"2423","11:0-21:0","11:0-21:0","11:0-21:0","11:0-21:0","11:0-21:0","11:0-21:0",NA,6,10,10,10,10,10,10,NA
"2424","18:0-19:0","7:0-2:30","10:0-14:30","9:0-17:0","10:0-14:30","7:0-2:30","12:0-2:30",7,1,19.5,8,4.5,4.5,19.5,14.5
"2425","11:0-23:0","11:0-23:0","11:0-23:0","11:0-2:30","11:0-2:30","11:0-2:30","11:0-23:0",7,12,12,15.5,12,15.5,15.5,12
"2426","11:0-22:0","11:0-22:0","11:0-22:0","11:0-22:0","11:0-23:0","11:0-23:0","11:0-22:0",7,11,11,11,11,12,12,11
"2427",NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA
"2428",NA,"15:0-2:0","15:0-2:0","15:0-2:0","15:0-2:0","15:0-2:0",NA,5,NA,11,11,11,11,11,NA
"2429","11:0-21:0","11:0-22:0","11:0-22:0","11:0-22:0","11:0-23:0","10:0-23:0","10:0-21:0",7,10,11,11,11,12,13,11
"2430",NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA
"2431","11:0-22:0","11:0-22:0","11:0-22:0","11:0-22:0","11:0-22:0","11:0-22:0","11:0-22:0",7,11,11,11,11,11,11,11
"2432","11:30-2:30","11:30-2:30","11:30-2:30","11:30-2:30","11:30-2:30","11:30-2:30","12:0-0:0",7,15,15,15,15,15,15,12
"2433","11:30-21:0","11:30-21:0","11:30-21:0","11:30-21:0","11:30-22:0","11:30-22:0","11:30-21:0",7,9.5,9.5,9.5,9.5,10.5,10.5,9.5
"2434","11:0-21:0","11:0-21:0","11:0-21:0","11:0-20:0","11:0-22:0","11:0-22:0","11:0-21:0",7,10,10,9,10,11,11,10
"2435",NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA
"2436","11:0-22:0","11:0-22:0","11:0-22:0","11:0-22:0","11:0-23:0","11:0-23:0","11:0-22:0",7,11,11,11,11,12,12,11
"2437","5:30-21:0","5:30-21:0","5:30-21:0","5:30-21:0","5:30-21:0","8:30-17:0","9:30-15:0",7,15.5,15.5,15.5,15.5,15.5,8.5,5.5
"2438","0:0-0:0","10:0-20:0","10:0-20:0","10:0-20:0","10:0-20:0","9:0-18:0","10:0-16:0",7,0,10,10,10,10,9,6
"2439","11:0-22:0","11:0-22:0","11:0-22:0","11:0-22:0","11:0-22:30","11:0-22:30","11:0-21:30",7,11,11,11,11,11.5,11.5,10.5
"2440","11:0-2:0","11:0-2:0","11:0-2:0","11:0-2:0","11:0-2:0","11:0-2:0","11:0-2:0",7,15,15,15,15,15,15,15
"2441","18:0-2:0",NA,NA,"18:0-2:0","18:0-2:0","18:0-2:0","18:0-2:0",5,8,NA,8,NA,8,8,8
"2442",NA,"16:0-2:0","16:0-2:0","16:0-2:0","16:0-2:30","15:0-2:30","9:0-2:0",6,NA,10,10,10,10.5,11.5,17
"2443","0:0-0:0","0:0-0:0","0:0-0:0","0:0-0:0","0:0-0:0","0:0-0:0","0:0-0:0",7,0,0,0,0,0,0,0
"2444","0:0-0:0","10:45-23:0","10:45-23:0","6:30-7:0","11:0-21:0","11:0-22:0","11:0-21:0",7,0,12.25,30,12.25,10,11,10
"2445","9:0-20:0","9:0-20:0","9:0-20:0","9:0-20:0","9:0-20:0","9:0-18:0","11:0-17:0",7,11,11,11,11,11,9,6
"2446","18:0-0:0","18:0-0:0","18:0-0:0","18:0-0:0","18:0-1:30","18:0-1:30","18:0-0:0",7,6,6,6,6,7.5,7.5,6
"2447","9:0-19:0","9:0-19:0","9:0-19:0","9:0-19:0","9:0-19:0","9:0-17:0",NA,6,10,10,10,10,10,8,NA
"2448","12:0-21:30","12:0-0:0","12:0-21:30","19:0-0:0","12:0-0:0","12:0-0:0","12:0-20:0",7,9.5,12,5,9.5,12,12,8
"2449",NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA
"2450","16:30-21:30","16:30-21:30","16:30-21:30","16:30-21:30","16:30-22:0","11:0-22:0","12:0-21:0",7,5,5,5,5,5.5,11,9
"2451","0:0-0:0","11:0-2:30","11:0-2:30","11:0-2:30","11:0-2:30","11:0-2:30","11:0-2:30",7,0,15.5,15.5,15.5,15.5,15.5,15.5
"2452","0:0-0:0","9:0-15:0","11:0-17:0","11:0-17:0","9:0-19:0","9:0-19:0","9:0-17:0",7,0,6,6,6,10,10,8
"2453",NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA
"2454","16:0-2:0","16:0-2:0","16:0-2:0","16:0-2:0","14:0-2:30","12:0-2:30","12:0-2:0",7,10,10,10,10,12.5,14.5,14
"2455",NA,"11:0-18:30","11:0-18:30","11:0-20:30","11:0-20:30","11:0-20:30",NA,5,NA,7.5,9.5,7.5,9.5,9.5,NA
"2456","0:0-0:0","10:0-0:0","10:0-0:0","10:0-0:0","10:0-1:0","10:0-1:0","11:0-0:0",7,0,14,14,14,15,15,13
"2457","11:0-22:0","11:0-22:0","11:0-22:0","11:0-22:0","11:0-23:0","11:0-23:0","9:30-21:0",7,11,11,11,11,12,12,11.5
"2458","7:0-21:0","7:0-21:0","7:0-21:0","7:0-21:0","7:0-21:0","9:0-21:0","10:0-19:0",7,14,14,14,14,14,12,9
"2459",NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA
"2460",NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA
"2461","11:0-22:0",NA,"11:0-22:0","11:0-22:0","11:0-22:30","11:0-22:30","12:0-22:0",6,11,NA,11,11,11.5,11.5,10
"2462",NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA
"2463","7:0-14:30","7:0-14:30","7:0-14:30","7:0-14:30","7:0-14:30","9:0-14:30","9:0-14:30",7,7.5,7.5,7.5,7.5,7.5,5.5,5.5
"2464","11:0-22:0","11:0-22:0","11:0-22:0","11:0-22:0","11:0-22:30","11:0-22:30","12:0-21:0",7,11,11,11,11,11.5,11.5,9
"2465","0:0-0:0","7:0-11:0","10:45-12:30","16:0-20:0","17:45-19:0","7:15-13:0","17:0-18:15",7,0,4,4,1.75,1.25,5.75,1.25
"2466",NA,"10:30-17:0","10:30-17:0","10:30-17:0","10:30-17:0","9:0-16:0",NA,5,NA,6.5,6.5,6.5,6.5,7,NA
"2467",NA,"17:0-21:0","17:0-21:0","11:0-21:0","11:0-21:0","11:0-21:0","11:0-14:0",6,NA,4,10,4,10,10,3
"2468","11:0-23:0","11:0-23:0","11:0-23:0","11:0-23:0","11:0-2:0","11:0-2:0","11:0-21:0",7,12,12,12,12,15,15,10
"2469","0:0-0:0","15:0-2:0","15:0-2:0","15:0-2:0","15:0-2:30","11:0-2:30","11:0-2:0",7,0,11,11,11,11.5,15.5,15
"2470","16:0-2:0","16:0-2:0","16:0-2:0","16:0-2:0","11:0-2:0","11:0-2:0","11:0-2:0",7,10,10,10,10,15,15,15
"2471",NA,"11:0-21:0","11:0-21:0","11:0-21:0","11:0-22:0","10:0-22:0","10:0-15:30",6,NA,10,10,10,11,12,5.5
"2472","11:0-22:0","11:0-22:0","11:0-22:0","11:0-22:0","11:0-23:0","11:0-23:0","11:0-22:0",7,11,11,11,11,12,12,11
"2473",NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA
"2474","0:0-0:0","10:0-0:0","10:0-0:0","10:0-0:0","10:0-1:0","10:0-1:0","11:0-23:0",7,0,14,14,14,15,15,12
"2475","8:15-19:45","6:0-19:45","6:0-20:30","6:0-19:45","6:0-18:45","7:45-12:0","7:45-19:0",7,11.5,13.75,13.75,14.5,12.75,4.25,11.25
"2476","0:0-0:0","7:0-15:0","7:0-15:0","7:0-15:0","7:0-15:0","8:0-17:0","9:0-15:0",7,0,8,8,8,8,9,6
"2477","8:0-16:0","8:0-16:0","8:0-16:0","8:0-16:0","8:0-16:0",NA,NA,5,8,8,8,8,8,NA,NA
"2478","9:0-20:0","9:0-20:0","9:0-20:0","9:0-20:0","9:0-20:0","9:0-18:0","11:0-17:0",7,11,11,11,11,11,9,6
"2479","10:0-2:0","10:0-2:0","10:0-2:0","10:0-2:0","10:0-2:0","10:0-2:0","11:0-2:0",7,16,16,16,16,16,16,15
"2480",NA,"7:30-2:0","7:30-2:0","7:30-2:0","7:30-2:30","9:0-2:30","21:0-2:0",6,NA,18.5,18.5,18.5,19,17.5,5
"2481","0:0-0:0","12:0-21:0","12:0-21:0","12:0-21:0","12:0-21:0","12:0-21:0",NA,6,0,9,9,9,9,9,NA
"2482",NA,"16:0-22:0","16:0-22:0","16:0-22:0","16:0-22:0","16:0-22:0",NA,5,NA,6,6,6,6,6,NA
"2483","0:0-0:0","12:0-22:0","12:0-22:0","12:0-22:0","12:0-23:0","12:0-23:0",NA,6,0,10,10,10,11,11,NA
"2484",NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA
"2485","0:0-0:0","11:0-21:0","11:0-0:0","11:0-0:0","11:0-1:0","11:0-1:0","11:0-0:0",7,0,10,13,13,14,14,13
"2486","10:0-16:0",NA,"10:0-17:0","10:0-18:0","9:0-18:0","8:0-18:0",NA,5,6,NA,8,7,9,10,NA
"2487","11:0-21:0","11:0-21:0","11:0-21:0","11:0-21:0","11:0-21:0","11:0-21:0","11:0-21:0",7,10,10,10,10,10,10,10
"2488",NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA
"2489","11:0-21:0","11:0-21:0","11:0-21:0","11:0-21:0","11:0-21:0","11:0-21:0","12:0-21:0",7,10,10,10,10,10,10,9
"2490","0:0-0:0",NA,NA,"21:0-2:0","21:0-2:0","21:0-2:0",NA,4,0,NA,5,NA,5,5,NA
"2491",NA,"16:0-21:0","16:0-21:0","12:0-21:0","12:0-22:0","12:0-22:0","12:0-19:0",6,NA,5,9,5,10,10,7
"2492","15:0-2:0","15:0-2:0","15:0-2:0","15:0-2:0","15:0-2:30","8:0-2:30","8:0-2:0",7,11,11,11,11,11.5,18.5,18
"2493",NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA
"2494","8:0-21:0","8:0-21:0","8:0-21:0","8:0-21:0","8:0-22:0","8:0-22:0","8:0-20:0",7,13,13,13,13,14,14,12
"2495",NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA
"2496","11:0-22:0","11:0-22:0","11:0-22:0","11:0-22:0","11:0-22:0","11:0-22:0","12:0-22:0",7,11,11,11,11,11,11,10
"2497",NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA
"2498",NA,"19:0-2:0","19:0-2:0","19:0-2:0","19:0-2:0","19:0-2:0",NA,5,NA,7,7,7,7,7,NA
"2499",NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA
"2500","11:0-2:30","11:0-2:30","11:0-2:30","11:0-2:30","11:0-2:30","11:0-2:30","16:0-2:30",7,15.5,15.5,15.5,15.5,15.5,15.5,10.5
"2501","8:0-17:30","8:0-17:30","8:0-17:30","8:0-17:30","8:0-18:0","8:0-17:0","9:0-16:0",7,9.5,9.5,9.5,9.5,10,9,7
"2502","11:0-21:30","11:0-21:30","11:0-21:30","11:0-21:30","11:0-22:30","12:0-22:30","16:0-21:0",7,10.5,10.5,10.5,10.5,11.5,10.5,5
"2503","11:0-2:0","11:0-2:0","11:0-2:0","11:0-2:0","11:0-2:30","11:0-2:30","11:0-2:0",7,15,15,15,15,15.5,15.5,15
"2504","11:0-2:30","11:0-2:30","11:0-2:30","11:0-2:30","11:0-2:30","11:0-2:30","12:30-2:30",7,15.5,15.5,15.5,15.5,15.5,15.5,14
"2505","11:0-22:0","11:0-22:0","11:0-22:0","11:0-22:0","11:0-23:0","12:0-23:0","14:0-21:0",7,11,11,11,11,12,11,7
"2506",NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA
"2507","0:0-0:0","7:0-1:45","7:0-1:45","7:0-1:45","7:0-1:45","7:0-1:45","11:0-22:0",7,0,18.75,18.75,18.75,18.75,18.75,11
"2508","14:0-2:0","14:0-2:0","14:0-2:0","14:0-2:0","14:0-2:30","12:0-2:30","12:0-2:0",7,12,12,12,12,12.5,14.5,14
"2509","11:0-2:0","11:0-2:0","11:0-2:0","11:0-2:0","11:0-2:30","10:0-2:30","10:0-2:30",7,15,15,15,15,15.5,16.5,16.5
"2510","9:0-20:0","9:0-20:0","9:0-20:0","9:0-20:0","9:0-20:0","9:0-18:0",NA,6,11,11,11,11,11,9,NA
"2511","11:0-21:0","11:0-21:0","11:0-21:0","11:0-21:0","11:0-22:0","11:0-22:0","11:0-21:0",7,10,10,10,10,11,11,10
"2512",NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA
"2513","18:0-2:0","18:0-2:0","18:0-2:0","18:0-2:0","18:0-2:0","18:0-2:0","18:0-2:0",7,8,8,8,8,8,8,8
"2514",NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA
"2515","0:0-0:0","7:0-21:0","7:0-21:0","7:0-21:0","7:0-22:0","7:0-22:0","7:0-20:0",7,0,14,14,14,15,15,13
"2516","11:0-2:30","11:0-2:30","11:0-2:30","11:0-2:30","11:0-2:30","11:0-2:30","11:0-2:30",7,15.5,15.5,15.5,15.5,15.5,15.5,15.5
"2517","11:0-22:0","11:0-22:0","11:0-22:0","11:0-22:0","11:0-22:0","11:0-22:0","11:0-21:0",7,11,11,11,11,11,11,10
"2518","11:0-0:0","11:0-0:0","11:0-0:0","11:0-0:0","11:0-2:0","11:0-2:0","11:0-0:0",7,13,13,13,13,15,15,13
"2519","15:0-2:0","15:0-2:0","15:0-2:0","15:0-2:0","15:0-2:0","15:0-2:0","15:0-2:0",7,11,11,11,11,11,11,11
"2520","11:0-2:0","11:0-2:0","11:0-2:0","11:0-2:0","11:0-2:0","14:0-2:0","16:0-21:0",7,15,15,15,15,15,12,5
"2521",NA,NA,"20:0-2:0","20:0-2:0","20:0-2:0","20:0-2:0",NA,4,NA,NA,6,6,6,6,NA
"2522","11:0-21:0","11:0-21:0","11:0-21:0","11:0-21:0","11:0-21:0","11:0-21:0","11:0-21:0",7,10,10,10,10,10,10,10
"2523","16:0-0:0","16:0-0:0","16:0-0:0","16:0-0:0","16:0-0:0","16:0-0:0","16:0-0:0",7,8,8,8,8,8,8,8
"2524",NA,"12:0-22:0","12:0-22:0","12:0-22:0","12:0-0:0","12:0-0:0","11:0-15:0",6,NA,10,10,10,12,12,4
"2525",NA,"11:30-21:0","11:30-21:0","11:30-21:0","11:30-23:0","11:30-22:0","12:0-20:0",6,NA,9.5,9.5,9.5,11.5,10.5,8
"2526","10:0-2:0","10:0-2:0","10:0-2:0","10:0-2:0","10:0-2:0","10:0-2:0","10:0-2:0",7,16,16,16,16,16,16,16
"2527","17:0-1:0","17:0-1:0","17:0-1:0","17:0-1:0","17:0-1:0","17:0-1:0",NA,6,8,8,8,8,8,8,NA
"2528",NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA
"2529",NA,"16:0-0:0","16:0-0:0","16:0-0:0","16:0-2:0","16:0-2:0",NA,5,NA,8,8,8,10,10,NA
"2530","10:0-1:0","10:0-1:0","10:0-1:0","10:0-1:0","10:0-1:0","12:0-1:0","10:0-1:0",7,15,15,15,15,15,13,15
"2531","11:0-23:0","11:0-23:0","11:0-23:0","11:0-23:0","11:0-0:0","11:0-0:0","10:0-23:0",7,12,12,12,12,13,13,13
"2532","16:0-2:0","12:0-2:0","16:0-2:0","20:0-2:0","12:0-2:0","11:0-2:0","16:0-2:0",7,10,14,6,10,14,15,10
"2533","10:0-21:0","10:0-21:0","10:0-21:0","10:0-21:0","10:0-21:0","10:0-21:0","11:0-18:0",7,11,11,11,11,11,11,7
"2534","7:0-20:0","7:0-20:0","7:0-20:0","7:0-20:0","7:0-22:0","8:0-22:0","9:0-17:0",7,13,13,13,13,15,14,8
"2535","9:0-20:0","9:0-20:0","9:0-20:0","9:0-20:0","9:0-20:0","9:0-18:0","10:0-18:0",7,11,11,11,11,11,9,8
"2536","16:0-1:0","16:0-1:0","16:0-1:0","16:0-1:0","16:0-1:0","16:0-1:0","19:0-1:0",7,9,9,9,9,9,9,6
"2537",NA,NA,"17:0-23:0","17:0-23:0","17:0-0:0","15:0-0:0",NA,4,NA,NA,6,6,7,9,NA
"2538","11:30-21:30","11:30-21:30","11:30-21:30","11:30-21:30","11:30-22:30","11:30-22:30","11:30-21:0",7,10,10,10,10,11,11,9.5
"2539",NA,NA,"16:0-22:0","12:0-22:0","12:0-0:0","12:0-0:0","12:0-20:0",5,NA,NA,10,6,12,12,8
"2540",NA,"10:0-19:0","10:0-19:0","10:0-19:0","10:0-20:0","10:0-16:0",NA,5,NA,9,9,9,10,6,NA
"2541","10:0-0:0","10:0-0:0","10:0-0:0","10:0-2:0","10:0-2:0","10:0-2:0","10:0-22:0",7,14,14,16,14,16,16,12
"2542","11:0-2:0","11:0-2:0","11:0-2:0","11:0-2:0","11:0-2:0","11:0-2:0","9:0-1:0",7,15,15,15,15,15,15,16
"2543","5:30-18:30","6:30-19:0","5:30-19:30","6:30-18:30","5:30-18:30","8:30-14:30","8:30-11:30",7,13,12.5,12,14,13,6,3
